College,Year,BannerMajor,CodedMajor,Semester,AY
AS,Junior,Computer Science,Computer Science,F14,2014-2015
AS,Junior,"Mathematics, General Mathematics",Mathematical Sciences,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Junior,"Mathematics, Statistics",Mathematical Sciences,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Sophomore,Computer Science,Computer Science,F14,2014-2015
AS,Junior,Actuarial Science,Mathematical Sciences,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Junior,"Mathematics, Life Sciences",Mathematical Sciences,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Junior,"Mathematics, Statistics",Mathematical Sciences,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Junior,Statistics,Mathematical Sciences,F14,2014-2015
AS,Sophomore,Actuarial Science,Mathematical Sciences,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Senior,Environmental Science,Other Sciences,F14,2014-2015
AS,Junior,Computer Science,Computer Science,F14,2014-2015
GC,Junior,"Mathematics, General Mathematics",Mathematical Sciences,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
HS,Junior,"Exercise Science, Pre-Professional",Other Sciences,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Sophomore,Actuarial Science,Mathematical Sciences,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Senior,"Mathematics, General Mathematics",Mathematical Sciences,F14,2014-2015
AS,Sophomore,Actuarial Science,Mathematical Sciences,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Junior,Computer Science,Computer Science,F14,2014-2015
AS,Junior,"Mathematics, Business",Mathematical Sciences,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Sophomore,Computer Science,Computer Science,F14,2014-2015
AS,Senior,"Mathematics, Computation",Mathematical Sciences,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Sophomore,Actuarial Science,Mathematical Sciences,F14,2014-2015
AS,Junior,Actuarial Science,Mathematical Sciences,F14,2014-2015
AS,Senior,"Mathematics, Business",Mathematical Sciences,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
GC,Sophomore,Actuarial Science,Mathematical Sciences,F14,2014-2015
AS,Junior,"Chemistry, Preprofessional & Paramedical",Other Sciences,F14,2014-2015
AS,Junior,Computer Science,Computer Science,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Junior,Computer Science,Computer Science,F14,2014-2015
AS,Senior,"Mathematics, General Mathematics",Mathematical Sciences,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Junior,Computer Science,Computer Science,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Junior,Actuarial Science,Mathematical Sciences,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Sophomore,Actuarial Science,Mathematical Sciences,F14,2014-2015
AS,Senior,"Physics, Applied Physics",Other Sciences,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Junior,"Mathematics, Business",Mathematical Sciences,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Sophomore,Actuarial Science,Mathematical Sciences,F14,2014-2015
AS,Sophomore,Computer Science,Computer Science,F14,2014-2015
AS,Junior,"Mathematics, Business",Mathematical Sciences,F14,2014-2015
AS,Junior,Computer Science,Computer Science,F14,2014-2015
AS,Senior,Computer Science,Computer Science,F14,2014-2015
AS,Junior,Computer Science,Computer Science,F14,2014-2015
AS,Junior,Computer Science,Computer Science,S15,2014-2015
AS,Junior,Computer Science,Computer Science,S15,2014-2015
AS,Junior,Computer Science,Computer Science,S15,2014-2015
AS,Junior,Computer Science,Computer Science,S15,2014-2015
AS,Junior,Computer Science,Computer Science,S15,2014-2015
AS,Junior,Computer Science,Computer Science,S15,2014-2015
AS,Junior,Computer Science,Computer Science,S15,2014-2015
AS,Junior,Computer Science,Computer Science,S15,2014-2015
AS,Junior,Computer Science,Computer Science,S15,2014-2015
AS,Junior,Computer Science,Computer Science,S15,2014-2015
AS,Junior,Computer Science,Computer Science,S15,2014-2015
AS,Junior,Computer Science,Computer Science,S15,2014-2015
AS,Junior,Computer Science,Computer Science,S15,2014-2015
AS,Junior,Computer Science,Computer Science,S15,2014-2015
AS,Junior,Computer Science,Computer Science,S15,2014-2015
AS,Junior,Computer Science,Computer Science,S15,2014-2015
AS,Junior,Computer Science,Computer Science,S15,2014-2015
AS,Senior,Computer Science,Computer Science,S15,2014-2015
AS,Senior,Computer Science,Computer Science,S15,2014-2015
AS,Senior,Computer Science,Computer Science,S15,2014-2015
AS,Senior,Computer Science,Computer Science,S15,2014-2015
AS,Senior,Computer Science,Computer Science,S15,2014-2015
AS,Senior,Computer Science,Computer Science,S15,2014-2015
AS,Senior,Computer Science,Computer Science,S15,2014-2015
AS,Senior,Computer Science,Computer Science,S15,2014-2015
AS,Senior,Computer Science,Computer Science,S15,2014-2015
AS,Senior,Computer Science,Computer Science,S15,2014-2015
AS,Senior,Computer Science,Computer Science,S15,2014-2015
AS,Senior,Computer Science,Computer Science,S15,2014-2015
AS,Senior,Computer Science,Computer Science,S15,2014-2015
AS,Senior,Computer Science,Computer Science,S15,2014-2015
AS,Senior,Computer Science,Computer Science,S15,2014-2015
AS,Senior,Computer Science,Computer Science,S15,2014-2015
AS,Senior,Computer Science,Computer Science,S15,2014-2015
AS,Sophomore,Computer Science,Computer Science,S15,2014-2015
GC,Sophomore,Computer Science,Computer Science,S15,2014-2015
AS,Sophomore,Computer Science,Computer Science,S15,2014-2015
AS,Sophomore,Computer Science,Computer Science,S15,2014-2015
AS,Sophomore,Computer Science,Computer Science,S15,2014-2015
AS,Sophomore,Computer Science,Computer Science,S15,2014-2015
AS,Junior,Actuarial Science,Mathematical Sciences,S15,2014-2015
AS,Junior,Actuarial Science,Mathematical Sciences,S15,2014-2015
AS,Junior,Actuarial Science,Mathematical Sciences,S15,2014-2015
AS,Senior,Actuarial Science,Mathematical Sciences,S15,2014-2015
AS,Sophomore,Actuarial Science,Mathematical Sciences,S15,2014-2015
AS,Sophomore,Actuarial Science,Mathematical Sciences,S15,2014-2015
AS,Sophomore,Actuarial Science,Mathematical Sciences,S15,2014-2015
AS,Sophomore,Actuarial Science,Mathematical Sciences,S15,2014-2015
AS,Junior,"Mathematics, Business",Mathematical Sciences,S15,2014-2015
AS,Junior,"Mathematics, Business",Mathematical Sciences,S15,2014-2015
AS,Junior,"Mathematics, Business",Mathematical Sciences,S15,2014-2015
AS,Junior,"Mathematics, Computation",Mathematical Sciences,S15,2014-2015
AS,Junior,"Mathematics, General Mathematics",Mathematical Sciences,S15,2014-2015
AS,Junior,"Mathematics, General Mathematics",Mathematical Sciences,S15,2014-2015
AS,Junior,"Mathematics, Life Sciences",Mathematical Sciences,S15,2014-2015
AS,Junior,"Mathematics, Sec Education",Mathematical Sciences,S15,2014-2015
AS,Junior,"Mathematics, Statistics",Mathematical Sciences,S15,2014-2015
AS,Senior,Mathematics,Mathematical Sciences,S15,2014-2015
AS,Senior,"Mathematics, Business",Mathematical Sciences,S15,2014-2015
AS,Senior,"Mathematics, General Mathematics",Mathematical Sciences,S15,2014-2015
AS,Senior,"Mathematics, Physical Sciences",Mathematical Sciences,S15,2014-2015
AS,Sophomore,"Mathematics, General Mathematics",Mathematical Sciences,S15,2014-2015
AS,Sophomore,"Mathematics, Statistics",Mathematical Sciences,S15,2014-2015
AS,Sophomore,"Mathematics, Statistics",Mathematical Sciences,S15,2014-2015
GC,Sophomore,"Mathematics, Statistics",Mathematical Sciences,S15,2014-2015
AS,Sophomore,Statistics,Mathematical Sciences,S15,2014-2015
CB,Senior,Economics,Other,S15,2014-2015
CB,Senior,"Economics, International Economics",Other,S15,2014-2015
FA,Sophomore,"Communication, Journalism",Other,S15,2014-2015
CB,Senior,Finance and Banking,Other,S15,2014-2015
AS,Junior,"Psychology, Business",Other,S15,2014-2015
AS,Junior,"Psychology, Natural Science",Other,S15,2014-2015
AS,Senior,"Psychology, Natural Science",Other,S15,2014-2015
AS,Senior,"Psychology, Natural Science",Other,S15,2014-2015
AS,Junior,Environmental Science,Other Sciences,S15,2014-2015
AS,Junior,Environmental Science,Other Sciences,S15,2014-2015
AS,Junior,Environmental Science,Other Sciences,S15,2014-2015
AS,Junior,Environmental Science,Other Sciences,S15,2014-2015
AS,Senior,Environmental Science,Other Sciences,S15,2014-2015
AS,Senior,"Biology, Cell/Molecular Bio",Other Sciences,S15,2014-2015
AS,Junior,Computer Science,Computer Science,Sum15,2014-2015
AS,Junior,Computer Science,Computer Science,Sum15,2014-2015
AS,Junior,Computer Science,Computer Science,Sum15,2014-2015
AS,Junior,Computer Science,Computer Science,Sum15,2014-2015
AS,Junior,Computer Science,Computer Science,Sum15,2014-2015
AS,Senior,Computer Science,Computer Science,Sum15,2014-2015
AS,Senior,Computer Science,Computer Science,Sum15,2014-2015
AS,Senior,Computer Science,Computer Science,Sum15,2014-2015
AS,Senior,Computer Science,Computer Science,Sum15,2014-2015
AS,Senior,Computer Science,Computer Science,Sum15,2014-2015
AS,Senior,Computer Science,Computer Science,Sum15,2014-2015
AS,Senior,Computer Science,Computer Science,Sum15,2014-2015
AS,Senior,Computer Science,Computer Science,Sum15,2014-2015
AS,Senior,Computer Science,Computer Science,Sum15,2014-2015
AS,Senior,Computer Science,Computer Science,Sum15,2014-2015
AS,Senior,Computer Science,Computer Science,Sum15,2014-2015
AS,Senior,"Mathematics, General Mathematics",Mathematical Sciences,Sum15,2014-2015
AS,Senior,"Mathematics, Sec Education",Mathematical Sciences,Sum15,2014-2015
AS,Senior,"Psychology, Natural Science",Other,Sum15,2014-2015
AS,Senior,"Psychology, Natural Science",Other,Sum15,2014-2015
AS,Senior,Environmental Science,Other Sciences,Sum15,2014-2015
AS,Senior,Environmental Science,Other Sciences,Sum15,2014-2015
AS,Senior,Environmental Science,Other Sciences,Sum15,2014-2015
AS,Senior,Environmental Science,Other Sciences,Sum15,2014-2015
GC,Freshman,Computer Science,Computer Science,F15,2015-2016
GC,Freshman,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
GC,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
GC,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Junior,Computer Science,Computer Science,F15,2015-2016
AS,Senior,Computer Science,Computer Science,F15,2015-2016
AS,Senior,Computer Science,Computer Science,F15,2015-2016
AS,Senior,Computer Science,Computer Science,F15,2015-2016
AS,Senior,Computer Science,Computer Science,F15,2015-2016
AS,Senior,Computer Science,Computer Science,F15,2015-2016
AS,Senior,Computer Science,Computer Science,F15,2015-2016
AS,Senior,Computer Science,Computer Science,F15,2015-2016
AS,Senior,Computer Science,Computer Science,F15,2015-2016
AS,Senior,Computer Science,Computer Science,F15,2015-2016
GC,Senior,Computer Science,Computer Science,F15,2015-2016
AS,Senior,Computer Science,Computer Science,F15,2015-2016
AS,Senior,Computer Science,Computer Science,F15,2015-2016
AS,Senior,Computer Science,Computer Science,F15,2015-2016
AS,Senior,Computer Science,Computer Science,F15,2015-2016
AS,Senior,Computer Science,Computer Science,F15,2015-2016
AS,Senior,Computer Science,Computer Science,F15,2015-2016
AS,Senior,Computer Science,Computer Science,F15,2015-2016
AS,Senior,Computer Science,Computer Science,F15,2015-2016
AS,Senior,Computer Science,Computer Science,F15,2015-2016
GC,Senior,Computer Science,Computer Science,F15,2015-2016
AS,Sophomore,Computer Science,Computer Science,F15,2015-2016
AS,Sophomore,Computer Science,Computer Science,F15,2015-2016
AS,Sophomore,Computer Science,Computer Science,F15,2015-2016
AS,Sophomore,Computer Science,Computer Science,F15,2015-2016
AS,Sophomore,Computer Science,Computer Science,F15,2015-2016
AS,Sophomore,Computer Science,Computer Science,F15,2015-2016
AS,Sophomore,Computer Science,Computer Science,F15,2015-2016
AS,Sophomore,Computer Science,Computer Science,F15,2015-2016
AS,Sophomore,Computer Science,Computer Science,F15,2015-2016
AS,Sophomore,Computer Science,Computer Science,F15,2015-2016
AS,Senior,Actuarial Science,Mathematical Sciences,F15,2015-2016
AS,Senior,Actuarial Science,Mathematical Sciences,F15,2015-2016
AS,Sophomore,Actuarial Science,Mathematical Sciences,F15,2015-2016
AS,Sophomore,Actuarial Science,Mathematical Sciences,F15,2015-2016
GC,Sophomore,Actuarial Science,Mathematical Sciences,F15,2015-2016
AS,Sophomore,Actuarial Science,Mathematical Sciences,F15,2015-2016
AS,Sophomore,Actuarial Science,Mathematical Sciences,F15,2015-2016
AS,Sophomore,Actuarial Science,Mathematical Sciences,F15,2015-2016
GC,Sophomore,Actuarial Science,Mathematical Sciences,F15,2015-2016
AS,Sophomore,Actuarial Science,Mathematical Sciences,F15,2015-2016
GC,Freshman,"Mathematics, Business",Mathematical Sciences,F15,2015-2016
GC,Freshman,"Mathematics, Business",Mathematical Sciences,F15,2015-2016
GC,Freshman,"Mathematics, Business",Mathematical Sciences,F15,2015-2016
GC,Freshman,"Mathematics, Business",Mathematical Sciences,F15,2015-2016
AS,Junior,Actuarial Science,Mathematical Sciences,F15,2015-2016
AS,Junior,Actuarial Science,Mathematical Sciences,F15,2015-2016
AS,Junior,Actuarial Science,Mathematical Sciences,F15,2015-2016
AS,Junior,Actuarial Science,Mathematical Sciences,F15,2015-2016
AS,Junior,Actuarial Science,Mathematical Sciences,F15,2015-2016
AS,Junior,Actuarial Science,Mathematical Sciences,F15,2015-2016
AS,Junior,Actuarial Science,Mathematical Sciences,F15,2015-2016
AS,Junior,Actuarial Science,Mathematical Sciences,F15,2015-2016
AS,Junior,Actuarial Science,Mathematical Sciences,F15,2015-2016
AS,Junior,Actuarial Science,Mathematical Sciences,F15,2015-2016
AS,Junior,Actuarial Science,Mathematical Sciences,F15,2015-2016
AS,Junior,Actuarial Science,Mathematical Sciences,F15,2015-2016
AS,Junior,"Mathematics, Business",Mathematical Sciences,F15,2015-2016
AS,Junior,"Mathematics, Business",Mathematical Sciences,F15,2015-2016
AS,Junior,"Mathematics, Computation",Mathematical Sciences,F15,2015-2016
AS,Junior,"Mathematics, Computation",Mathematical Sciences,F15,2015-2016
AS,Junior,"Mathematics, Computation",Mathematical Sciences,F15,2015-2016
AS,Junior,"Mathematics, Computation",Mathematical Sciences,F15,2015-2016
AS,Junior,"Mathematics, Computation",Mathematical Sciences,F15,2015-2016
AS,Junior,"Mathematics, Computation",Mathematical Sciences,F15,2015-2016
AS,Junior,"Mathematics, General Mathematics",Mathematical Sciences,F15,2015-2016
AS,Junior,"Mathematics, General Mathematics",Mathematical Sciences,F15,2015-2016
AS,Junior,Statistics,Mathematical Sciences,F15,2015-2016
AS,Junior,Statistics,Mathematical Sciences,F15,2015-2016
AS,Senior,"Mathematics, Business",Mathematical Sciences,F15,2015-2016
AS,Senior,"Mathematics, Business",Mathematical Sciences,F15,2015-2016
AS,Senior,"Mathematics, Business",Mathematical Sciences,F15,2015-2016
AS,Senior,"Mathematics, Business",Mathematical Sciences,F15,2015-2016
AS,Senior,"Mathematics, Physical Sciences",Mathematical Sciences,F15,2015-2016
AS,Senior,"Mathematics, Physical Sciences",Mathematical Sciences,F15,2015-2016
AS,Senior,"Mathematics, Statistics",Mathematical Sciences,F15,2015-2016
AS,Senior,"Mathematics, Statistics",Mathematical Sciences,F15,2015-2016
AS,Sophomore,"Mathematics, Statistics",Mathematical Sciences,F15,2015-2016
GC,Sophomore,"Mathematics, Statistics",Mathematical Sciences,F15,2015-2016
AS,Sophomore,"Mathematics, Statistics",Mathematical Sciences,F15,2015-2016
GC,Sophomore,"Mathematics, Statistics",Mathematical Sciences,F15,2015-2016
GS,Graduate Certificate Program,Business Analytics,Other,F15,2015-2016
FA,Junior,"Sustainable Development, Agroecology & Sustainable Agri",Other,F15,2015-2016
FA,Junior,"Sustainable Development, Agroecology & Sustainable Agri",Other,F15,2015-2016
GS,Graduate Certificate Program,Business Analytics,Other,F15,2015-2016
CB,Senior,Finance and Banking,Other,F15,2015-2016
CB,Senior,Finance and Banking,Other,F15,2015-2016
AS,Senior,"Sociology, Applied Research Methods",Other,F15,2015-2016
AS,Senior,"Sociology, Applied Research Methods",Other,F15,2015-2016
AS,Sophomore,Criminal Justice,Other,F15,2015-2016
AS,Sophomore,Criminal Justice,Other,F15,2015-2016
AS,Junior,Environmental Science,Other Sciences,F15,2015-2016
AS,Junior,Environmental Science,Other Sciences,F15,2015-2016
AS,Junior,Environmental Science,Other Sciences,F15,2015-2016
AS,Junior,Environmental Science,Other Sciences,F15,2015-2016
AS,Senior,Environmental Science,Other Sciences,F15,2015-2016
AS,Senior,Environmental Science,Other Sciences,F15,2015-2016
AS,Senior,Environmental Science,Other Sciences,F15,2015-2016
AS,Senior,Environmental Science,Other Sciences,F15,2015-2016
AS,Senior,Environmental Science,Other Sciences,F15,2015-2016
AS,Senior,Environmental Science,Other Sciences,F15,2015-2016
AS,Sophomore,Environmental Science,Other Sciences,F15,2015-2016
AS,Sophomore,Environmental Science,Other Sciences,F15,2015-2016
AS,Junior,"Chemistry, Environmental",Other Sciences,F15,2015-2016
AS,Junior,"Chemistry, Environmental",Other Sciences,F15,2015-2016
AS,Junior,"Physics, Applied Physics",Other Sciences,F15,2015-2016
AS,Junior,"Physics, Applied Physics",Other Sciences,F15,2015-2016
AS,Senior,"Physics, Applied Physics",Other Sciences,F15,2015-2016
AS,Senior,"Physics, Applied Physics",Other Sciences,F15,2015-2016
AS,Junior,Computer Science,Computer Science,Sum16,2015-2016
AS,Junior,Computer Science,Computer Science,Sum16,2015-2016
AS,Junior,Computer Science,Computer Science,Sum16,2015-2016
AS,Junior,Computer Science,Computer Science,Sum16,2015-2016
AS,Senior,Computer Science,Computer Science,Sum16,2015-2016
AS,Senior,Computer Science,Computer Science,Sum16,2015-2016
AS,Senior,Computer Science,Computer Science,Sum16,2015-2016
AS,Senior,Computer Science,Computer Science,Sum16,2015-2016
AS,Senior,Computer Science,Computer Science,Sum16,2015-2016
