remony,decade,category,name,age,title
1929,1920s-30s,Best Actor,Emil Jannings,44,
1929,1920s-30s,Best Actress,Janet Gaynor,22,
1930,1920s-30s,Best Actor,Warner Baxter,41,In Old Arizona
1930,1920s-30s,Best Actor,George Arliss,62,Disraeli
1930,1920s-30s,Best Actress,Mary Pickford,37,Coquette
1930,1920s-30s,Best Actress,Norma Shearer,30,The Divorcee
1931,1920s-30s,Best Actor,Lionel Barrymore,53,A Free Soul
1931,1920s-30s,Best Actress,Marie Dressler,62,Min and Bill
1932,1920s-30s,Best Actor,Fredric March,35,Dr. Jeckyll and Mr. Hyde
1932,1920s-30s,Best Actor,Wallace Beery,47,The Champ
1932,1920s-30s,Best Actress,Helen Hayes,32,The Sin of Madelon Claudet
1934,1920s-30s,Best Actor,Charles Laughton,34,The Private Life of Henry VIII
1934,1920s-30s,Best Actress,Katharine Hepburn,26,Morning Glory
1935,1920s-30s,Best Actor,Clark Gable,34,It Happened One Night
1935,1920s-30s,Best Actress,Collette Colbert,31,It Happened One Night
1936,1920s-30s,Best Actor,Victor McLaglen,52,The Informer
1936,1920s-30s,Best Actress,Bette Davis,27,Dangerous
1937,1920s-30s,Best Actor,Paul Muni,41,The Story of Louis Pasteur
1937,1920s-30s,Best Actress,Luise Rainer,26,The Great Ziegfeld
1937,1920s-30s,Supporting Actor,Walter Brennan,42,Come and Get It
1937,1920s-30s,Supporting Actress,Gale Sondergaard,38,Anthony Adverse
1938,1920s-30s,Best Actor,Spencer Tracy,37,Captain's Courageous
1938,1920s-30s,Best Actress,Luise Rainer,27,The Good Earth
1938,1920s-30s,Supporting Actor,Joseph Schildkraut,41,The Life of Emile Zola
1938,1920s-30s,Supporting Actress,Alice Brady,45,In Old Chicago
1939,1920s-30s,Best Actor,Spencer Tracy,38,Boys Town
1939,1920s-30s,Best Actress,Bette Davis,30,Jezebel
1939,1920s-30s,Supporting Actor,Walter Brennan,44,Kentucky
1939,1920s-30s,Supporting Actress,Fay Bainter,45,Jezebel
1940,1940s,Best Actor,Robert Donat,34,"Goodbye, Mr. Chips"
1940,1940s,Best Actress,Vivien Leigh,26,Gone with the Wind
1940,1940s,Supporting Actor,Thomas Mitchell,47,Stagecoach
1940,1940s,Supporting Actress,Hattie McDaniel,44,Gone with the Wind
1941,1940s,Best Actor,James Stewart,32,The Philadelphia Story
1941,1940s,Best Actress,Ginger Rogers,29,Kitty Foyle
1941,1940s,Supporting Actor,Walter Brennan,46,The Westerner
1941,1940s,Supporting Actress,Jane Darwell,61,The Grapes of Wrath
1942,1940s,Best Actor,Gary Cooper,40,Sergeant York
1942,1940s,Best Actress,Joan Fontaine,24,Suspicion
1942,1940s,Supporting Actor,Donald Crisp,59,How Green Was My Valley
1942,1940s,Supporting Actress,Mary Astor,35,The Great Lie
1943,1940s,Best Actor,James Cagney,43,Yankee Doodle Dandy
1943,1940s,Best Actress,Greer Garson,39,Mrs. Miniver
1943,1940s,Supporting Actor,Van Heflin,32,Johnny Eager
1943,1940s,Supporting Actress,Teresa Wright,24,Mrs. Miniver
1944,1940s,Best Actor,Paul Lukas,48,Watch on the Rhine
1944,1940s,Best Actress,Jennifer Jones,24,The Song of Bernadette
1944,1940s,Supporting Actor,Charles Coburn,66,The More the Merrier
1944,1940s,Supporting Actress,Katina Paxinou,43,For Whom the Bell Tolls
1945,1940s,Best Actor,Bing Crosby,41,Going My Way
1945,1940s,Best Actress,Ingrid Bergman,29,Gaslight
1945,1940s,Supporting Actor,Barry Fitzgerald,57,Going My Way
1945,1940s,Supporting Actress,Ethel Barrymore,65,None but the Lonely Heart
1946,1940s,Best Actor,Ray Milland,41,The Lost Weekend
1946,1940s,Best Actress,Joan Crawford,37,Mildred Pierce
1946,1940s,Supporting Actor,James Dunn,44,A Tree Grown in Brooklyn
1946,1940s,Supporting Actress,Anne Revere,42,National Velvet
1947,1940s,Best Actor,Fredric March,49,The Best Years of Our Lives
1947,1940s,Best Actress,Olivia de Havilland,30,To Each His Own
1947,1940s,Supporting Actor,Harold Russell,33,The Best Years of Our Lives
1947,1940s,Supporting Actress,Anne Baxter,23,The Razor's Edge
1948,1940s,Best Actor,Ronald Colman,57,A Double Life
1948,1940s,Best Actress,Loretta Young,34,The Farmer's Daughter
1948,1940s,Supporting Actor,Edmund Gwenn,70,Miracle in 34th Street
1948,1940s,Supporting Actress,Celeste Holm,30,Gentleman's Agreement
1949,1940s,Best Actor,Laurence Olivier,41,Hamlet
1949,1940s,Best Actress,Jane Wyman,34,Johnny Belinda
1949,1940s,Supporting Actor,Walter Huston,64,The Treasure of the Sierra Madre
1949,1940s,Supporting Actress,Claire Trevor,39,Key Largo
